"id","code","fb_locale","fb_page","fb_page_id","redirect_link","logo_link","active","isAPAC","tracking_code","tracking_domain","twitter_link","name","facebook_url","twitter_url","youtube_url","pinterest_url","instagram_url","created_at","updated_at"
1,"na","en_US","Origins",19777183712,"http://www.origins.com","http://www.origins.com",1,0,"UA-XXXXXXXX-X","origins.com","https://twitter.com/origins","North America",,,,,,,
2,"uk","en_GB","OriginsUK",353401612404,"http://www.origins.co.uk","https://www.origins.co.uk",1,0,"UA-XXXXXXXX-X","origins.com","https://twitter.com/origins","United Kingdom",,,,,,,
3,"cn","en_US","Origins",,"http://www.origins.com","http://www.origins.com",1,0,"UA-XXXXXXXX-X","origins.com","https://twitter.com/origins","China",,,,,,,
4,"hk","zh_HK","OriginsHK",132490157870,"http://www.origins.hk","http://www.origins.hk",1,1,"UA-XXXXXXXX-X","origins.com","https://twitter.com/origins","Hong Kong",,,,,,,
5,"kr","ko_KR","OriginsKR",134788369901416,"http://www.origins.co.kr","http://www.origins.co.kr",1,1,"UA-XXXXXXXX-X","origins.com","https://twitter.com/origins","Korea",,,,,,,
6,"my","en_US","origins.malaysia",30443354206,"http://www.origins.my","http://www.origins.my",1,1,"UA-XXXXXXXX-X","origins.com","https://twitter.com/origins","Malaysia",,,,,,,
7,"ph","en_US","Origins",,"http://www.origins.com","http://www.origins.com",1,0,"UA-XXXXXXXX-X","origins.com","https://twitter.com/origins","Philippines",,,,,,,
8,"sg","en_US","origins.singapore",104177939123,"http://www.origins.com.sg","http://www.origins.com.sg",1,1,"UA-XXXXXXXX-X","origins.com","https://twitter.com/origins","Singapore",,,,,,,
9,"th","th_TH","OriginsTH",181478964064,"http://www.origins.co.th","http://www.origins.co.th",1,1,"UA-XXXXXXXX-X","origins.com","https://twitter.com/origins","Thailand",,,,,,,
10,"tw","en_US","Origins",,"http://www.origins.com","http://www.origins.com",1,0,"UA-XXXXXXXX-X","origins.com","https://twitter.com/origins","Taiwain",,,,,,,
11,"ca-en","en_US","Origins",19777183712,"http://www.origins.ca","http://www.origins.ca",1,0,"UA-XXXXXXXX-X","origins.com","https://twitter.com/origins","Canada (English)",,,,,,,
12,"ca-fr","en_US","Origins",19777183712,"http://www.origins.com","http://www.origins.com",1,0,"UA-XXXXXXXX-X","origins.com","https://twitter.com/origins","Canada (French)",,,,,,,
13,"mx","en_US","Origins",19777183712,"http://www.origins.com","http://www.origins.com",1,0,"UA-XXXXXXXX-X","origins.com","https://twitter.com/origins","Mexico",,,,,,,
14,"es","en_US","Origins",19777183712,"http://www.origins.com","http://www.origins.com",1,0,"UA-XXXXXXXX-X","origins.com","https://twitter.com/origins","Spain",,,,,,,
15,"at","de_DE","OriginsAT",107622435926364,"http://www.origins.com","http://www.origins.com",1,0,"UA-XXXXXXXX-X","origins.com","https://twitter.com/origins","Austria",,,,,,,
16,"dk","da_DK","OriginsDanmark",379330028755019,"http://www.origins.dk","http://www.origins.dk",1,0,"UA-XXXXXXXX-X","origins.com","https://twitter.com/origins","Denmark",,,,,,,
17,"de","de_DE","OriginsDeutschland",148726918489508,"http://www.origins.de","http://www.origins.de",1,0,"UA-XXXXXXXX-X","origins.com","https://twitter.com/origins","Germany",,,,,,,
18,"nl","en_US","Origins",19777183712,"http://www.origins.com","http://www.origins.com",1,0,"UA-XXXXXXXX-X","origins.com","https://twitter.com/origins","Dutch",,,,,,,
